AISHE Code,Name,State,District,City,Website,Year ,Location,Type,Management,University,Category,Email,Phone No
,"JD College of Engineering, Khandala",Maharashtra,Nagpur,,www.jdcoem.ac.in,,,tech,,,,,
,"W.K.B.S. MANDAL'S DR S. R. AJMERA MCA COLLEGE FOR WOMEN, DEOPUR, DHULE.",Maharashtra,Dhule,,www.wkbsmcawomen.ac.in,,,tech,,,,,
,"Dr. Ambedkar Institute of Social Work, Kailas Nagar, Nagpur - 27",Maharashtra,Nagpur,,www.daisw.org.in,,,tech,,,,,
,"Arts and Commerce Mahavidyalaya, Thadipauni",Maharashtra,Nagpur,,http://www.kvmthadipauni.in,,,tech,,,,,
,"South Indian Children?s Education Society?s, Degree College of Arts, Science and Commerce, Chikloli, Ambernath (W), Thane - 421 505",Maharashtra,Thane,,https://sicescollege.edu.in/,,,tech,,,,,
,"Kunbi Shikshan Prasarak Sanstha Khed, Tukaram Baburao Kadam College of Arts, Science & Commerce, Bharne Naka, Tal.- Khed, Dist.- Ratnagiri-415621",Maharashtra,Ratnagiri,,www.tbkadam.com,,,tech,,,,,
,"Smt. Shakuntalabai Dhabekar Mahavidyalaya, Karanja Lad, Dist: Washim",Maharashtra,Washim,,www.ssdmk.in,,,tech,,,,,
,SWA BHARATSINH THAKUR KALA VANIJYA VA VIDNYAN MAHAVIDYALAY JAWALA TQ ARNI DIST YAVATMAL ,Maharashtra,Yavatmal,,www.thakur.org,,,tech,,,,,
,LATE NARAYAN MEGHAJI LOKHANDE MAHARASHTRA INSTITUTE OF LABOUR STUDIES,Maharashtra,Mumbai,,mils.co.in ,,,tech,,,,,
,"LAXMIBAI ARTS AND SCIENCE COLLEGE, MANGLI / KHAPA",Maharashtra,Bhandara,,http://www.lnpwavtumsar.org,,,tech,,,,,
,"Laxmibai BBA and BCA College, Lakandoor",Maharashtra,Bhandara,,www.laxmibai.com,,,mgt,,,,,
, ARTS COMMERCE  AND SCIENCE COLLEGE HARSUL SAVANGI TQ DIST AURANGABAD,Maharashtra,Chhatrapati Sambhajinagar,,-,,,tech,,,,,
,"Late Dr. Haribhau Admane Arts and Commerce College, Saoner",Maharashtra,Nagpur,,drharibhauadmanecollege.in,,,tech,,,,,
,"Janata Shikshan Sansthas Smt. Chandrakala Kishorilal Goyal , Arts  and Commerce College, Dapodi, Pune  411 012",Maharashtra,Pune,,www.ckgoyalcollege.ac.in,,,tech,,,,,
,"Zagdu Singh Charitable Trust's Thakur Shyamnarayan Degree College, Thakur House, Ashok Nagar, Kandivali (East), Mumbai-400 101",Maharashtra,Mumbai Suburban,,www.tsdcmumbai.in,,,tech,,,,,
,"Aurangabad College of Engineering, aurangabad",Maharashtra,Chhatrapati Sambhajinagar,,aurangabadengg.com,,,tech,,,,,
,"Matru Sewa Sangh Institute of Social Work, Bajajnagar, Nagpur",Maharashtra,Nagpur,,mssiswngp.edu.in,,,tech,,,,,
,"Kai. Bhausaheb Hiray Smaranika Samiti Trust's Indira College, Malegaon, Nashik.",Maharashtra,Nashik,,www.indiracollege.org,,,tech,,,,,
,MATOSHRI MAHILA MAHAVIDYALAY,Maharashtra,Jalna,,www.matoshricollege,,,tech,,,,,
,EKLAVYA MAHAVIDYALAY ,Maharashtra,Chhatrapati Sambhajinagar,,WWW.EKLAVYACOLLGE.CO.IN,,,tech,,,,,
,"Shri Ambabai Talim Sanstha, Sanjay Bhokare Group of Institutes, Faculty of Engineering,  Tilak Nagar, Miraj-Sangli Road, Miraj ? 416 414, Dist-Sangli.",Maharashtra,Sangli,,www.sbgimiraj.org,,,tech,,,,,
,"Aravind Gavali College of Engineering, Gat, Panmalewadi,",Maharashtra,Satara,,https://agce.edu.in,,,tech,,,,,
,"Shri Vijaysinh Yadav College, PETH-VADGAON",Maharashtra,Kolhapur,,www.vijaysinhayadavcollege.org,,,tech,,,,,
,Gauri Shankar Institute of Pharmasutical Education and Research,Maharashtra,Satara,,www.gourishankarpharmacy.org,,,tech,,,,,
,"Shivraj College of Arts, Commerce and D.S. Kadam Science College, Gadhinglaj.",Maharashtra,Kolhapur,,www.shivraj.edu.in,,,tech,,,,,
,KRANTIVEER VASANTRAO NARAYANRAO NAIK SHIKSHAN PRASARAK SANSTHAS ARTS COMMERCE AND SCIENCE COLLEGE SINNAR,Maharashtra,Nashik,,https://kvncollegesinnar.org,,,tech,,,,,
,"Maratha Vidya  Prasarak Samaj 's Karmaveer Raosaheb Thorat  Arts & Commerce College, Vani, Tal.Dindori District - Nashik 422215.",Maharashtra,Nashik,,www.mvpkrtvanicollege.edu.in,,,tech,,,,,
,VAISHANAVI ARTS AND COMMERCE COLLEGE SADAK ARJUNI,Maharashtra,Gondia,,www.vaccsa.in,,,tech,,,,,
,LATE KU ARCHANATAI CHAVAN ARTS COMMERCE AND SHRI MANOHARRAO NAIK SCIENCE MAHAVIDYALAYA KONDALA,Maharashtra,Washim,,sgbaukondala.gmail.com,,,tech,,,,,
,KISSAN ARTS COMMERCE AND SCIENCE COLLEGE PARNER,Maharashtra,Ahilyanagar,,kissanacscollege.com,,,tech,,,,,
,DIPAK ABA SALUNKHE PATIL MAHAVIDDYALAYA KOLE,Maharashtra,Solapur,,dasckole.com,,,tech,,,,,
,GLOBAL VILLAGE ARTS SCIENCE AND COMMERCE COLLEGE BORAMANI,Maharashtra,Solapur,,www.globalvillagesolapur.com,,,tech,,,,,
,DEFENCE CAREER ACADEMY SENIOR COLLEGE,Maharashtra,Chhatrapati Sambhajinagar,,www.dcasrcollegeforgirls.com,,,tech,,,,,
,"Shree Gurudatta Gramvikas Pratishthan,  Jijamata Senior College, Jategaon Bk., Tal. Shirur, Dist. Pune-412 208.",Maharashtra,Pune,,https://sggpjijamatacollege.com/,,,tech,,,,,
,"Sushila Shankarrao Gadhave Mahavidyalaya, Khandala Tal. Khandala Dist. Satara",Maharashtra,Satara,,www.ssgmkhandala.org,,,tech,,,,,
,"People's Education Society's (Mumbai) Milind College of Science, Nagsenvan ,Aurangabad.",Maharashtra,Chhatrapati Sambhajinagar,,www.milindscience.com,,,tech,,,,,
,"Vidnyan Mahavidyalaya, Malkapur, Dist.Buldhana",Maharashtra,Buldhana,,www.vmvmlk.org,,,tech,,,,,
,"Vidyalankar School of Information Technology, Vidyalankar Educational Campus, Vidyalankar College Marg, Wadala (East), Mumbai - 400037",Maharashtra,Mumbai,,www.vsit.edu.in,,,tech,,,,,
,"JAGDAMBA EDUCATION SOCIETY?S S.N.D. ARTS, COMMERCE & SCIENCE COLLEGE, YEOLA",Maharashtra,Nashik,,www.sndacsc.com,,,tech,,,,,
,"Shri Jain Vidya Prasarak Mandal Sangavi Keshri Arts & Commerce College, Opposite Finolex Company, Tal - Haweli, (excluding Corporation Area), Dist Pune - 411019 ",Maharashtra,Pune,,www.sanghvikeshri.in,,,tech,,,,,
,"Pushpak Mahavidyalaya, Umred",Maharashtra,Nagpur,,www.webmail.pushpakmv.org,,,tech,,,,,
,"Hanuman Vyayam Prasarak Mandal's College of Engineering & Technology, Amravati",Maharashtra,Amravati,,www.hvpmcoet.in,,,tech,,,,,
,"Bharat Shikshan Sanstha's Arts, Science and Commerce College Makni, Tq. Lohara, Dist. Osmanabad",Maharashtra,Dharashiv,,www.bsscm.ac.in,,,tech,,,,,
,"Marathwada Shikshan Prasarak Mandal's Shri Muktanand College, Gangapur, Dist. Aurangabad",Maharashtra,Chhatrapati Sambhajinagar,,https://shrimuktanandcollege.edu.in,,,tech,,,,,
,"Tuljabhavani Education Social & Welfare Societys Shree Saptashrungi Arts & Commerce College, Dangsaundane, Tal. Baglan, Dist. Nashik 423301",Maharashtra,Nashik,,ssaccollege.ac.in,,,tech,,,,,
,"Decade Devrukh College of Art & Design, bhagwat Sankul, Middle Lane, Tal. - Sangmeshwar, Dist. Ratnagiri - 415804",Maharashtra,Ratnagiri,,www.decad.in,,,tech,,,,,
,"Kai.Shri. Y. D. Patil Arts, Commerce & Science College, Yavaluj, Tal. Panhala Dist. Kolhapur",Maharashtra,Kolhapur,,http://ydpcollege.eduction.in,,,tech,,,,,
,"200009-ABHAY YUWA KALYAN KENDRA'S ARTS MAHILA MAHAVIDYALAYA, DHULE.",Maharashtra,Dhule,,aykk.org.mahila-institute.php,,,tech,,,,,
,"Jayawant College of Engineering & Polytechnic, Gat,Kille Machindragad,",Maharashtra,Sangli,,www.jcep.edu.in,,,tech,,,,,
,"Mahatma Gandhi Vidyamandir's, Loknete Vyankatrao Hiray Arts, Science & Commerce College, Panchavati, Nashik, Dist. Nashik - 422003.",Maharashtra,Nashik,,https://mgvlvhsr.kbhgroup.in,,,tech,,,,,
,"ASHVIN ARTS, COMMERACE, SCENCE COLLEGE MANCHI HILL",Maharashtra,Ahilyanagar,,https://www.arac.co.in,,,tech,,,,,
,Niranjanlal Dalmia Institute of   Management Studies and Research Shristi Sector-1 Mira Road (E) Dist Thane  401 104,Maharashtra,Thane,,www.nldalmia.in,,,mgt,,,,,
,Elphinstone College Fort Mumbai 400 032,Maharashtra,Mumbai,,elphinstone.ac.in,,,tech,,,,,
,"120064-SHRAM SAFALYA EDUCATION SOCIETYS, PANDIT JAWAHARLAL NEHRU COLLEGE OF SOCIAL WORK, AMALNER",Maharashtra,Jalgaon,,www.pjncoswa.org,,,tech,,,,,
,SHRI PRAKASHCHAND JAIN COLLEGE OF EDUCATION AND RESEARCH,Maharashtra,Jalgaon,,www.bedjamner.org,,,tech,,,,,
,"Shri Hari Educational Trust's St. Rock's Degree College of Commerce & Science, Talepakhdi  Eksar Village Near Aquaria Club  Borivali  (W),  Mumbai  400 092 ",Maharashtra,Mumbai Suburban,,STROCKSCOLLEGE.COM,,,tech,,,,,
,The Institute of Science  Fort Mumbai  400 032,Maharashtra,Mumbai,,https://iscm.ac.in/,,,tech,,,,,
,"D.D. Bhoyar College of Arts and Science, Mouda",Maharashtra,Nagpur,,www.ddbhoyar.ac.in,,,tech,,,,,
,"SHRI GAJANAN MAHARAJ MAHILA MAHAVIDYALAY, AMGAON",Maharashtra,Gondia,,-,,,tech,,,,,
,"TOLANI MARITIME INSTITUTE,INDURI",Maharashtra,Pune,,www.tolani.edu,,,tech,,,,,
,"SAIKRUPA COLLEGE OF AGRICULTURAL ENGINEERING AND TECHNOLOGY GHARGAON TAL SHRIGONDA, DIST AHMEDNAGAR",Maharashtra,Ahilyanagar,,saikrupaaetghargaon.com,,,tech,,,,,
,"Shri Dadapatil Rajale Shikshan Sanstha's Dadapatil Rajale Arts & Science College, Adinathnagar, Tal. Pathardi, Dist. Ahmednagar 414505",Maharashtra,Ahilyanagar,,dprcollege.org.in,,,tech,,,,,
,"Krantisurya Annasaheb Patil Social work College, Dharashiv",Maharashtra,Dharashiv,,www.krantisurya2022.com,,,tech,,,,,
,"Women?s College of Art?s, Commerce and  Computer Application, Dongar Kathore, Tal.- Yawal, Dist.- Jalgaon",Maharashtra,Jalgaon,,www.wcdongarkathore.com,,,tech,,,,,
,"Hutatma Rajguru Shikshan Prasarak Mandal's,  Arts, Commerce & Science College, A/P Dehane, Ta: Khed, Dist: Pune 412402",Maharashtra,Pune,,acscollegedehane.in,,,tech,,,,,
,"Pratibhatai Patil Mahila Shikshanshastra Mahavidyalaya, Vidyabharti College Campus, Amravati",Maharashtra,Amravati,,www.sppmsm.in,,,tech,,,,,
,"Pune District Education Association's,  Annasaheb Waghire College of Arts, Science & Commerce , Otur, Tal. Junnar, Dist. Pune 412409",Maharashtra,Pune,,www.pdeaawcotur.edu.in,,,tech,,,,,
,"Dr. S.C. Gulhane Prerna College of Commerce, Science and Arts, Reshimbagh Chowk, Nagpur",Maharashtra,Nagpur,,www.prernacollegeofcommerce.org,,,tech,,,,,
,"Gandhigram College, Wardha",Maharashtra,Wardha,,www.gandhigramcollege.com,,,tech,,,,,
,"Zulekha College of Commerce, Science and Technology",Maharashtra,Nagpur,,www.zulekhacollege.org,,,tech,,,,,
," D.Y. Patil Technical Campus, Faculty of Engineering and Faculty of Management, Talsande, Kolhapur",Maharashtra,Kolhapur,,www.foet.dypgroup.edu.in,,,mgt,,,,,
,"230078-SHAHADA TALUKA EDUCATIONAL SOCIETY & CO-OPERATIVE EDUCATIONAL SOCIETY LTD. SCIENCE SENIOR COLLEGE, SHAHADA DIST- NANDURBAR",Maharashtra,Nandurbar,,www.stcsciencecollege.com,,,tech,,,,,
,"230102-SHAHADA TALUKA EDUCATIONAL SOCIETY & CO-OPERATIVE EDUCATIONAL SOCIETY LTD. INSTITUTE OF MANAGEMENT RESEARCH & DEVELOPMENT, SHAHADA",Maharashtra,Nandurbar,,www.stcedu.org,,,mgt,,,,,
,"Hutatma Rashtriya Arts and Science College, Ashti, Dist-Wardha",Maharashtra,Wardha,,www.hutatmaasc.org,,,tech,,,,,
,"GAWARABAI ARTS COLLEGE, ZALIYA",Maharashtra,Gondia,,www.gawarabaiartscollege.com,,,tech,,,,,
,"LATE SHRI. MALLAJI ATRAM ART?S, SCIENCE AND COMMERCE COLLEGE, MULCHERA",Maharashtra,Gadchiroli,,mallajiatramcollegemulchera.in,,,tech,,,,,
,"Sainath Education Trust's Rajiv Gandhi College of Arts, Commerce and Science, Plot No. 16 / 17, Sector 10/A, Juhu Nagar, Vashi, Navi Mumbai - 400 703",Maharashtra,Thane,,https://setrgc.edu.in/,,,tech,,,,,
,"PVG COLLEGE OF EDUCATION AND RESEARCH, NASHIK",Maharashtra,Nashik,,www.pvgcer.in,,,tech,,,,,
,"Seva Shikshan Prasarak Mandal's  Dr. N. J. Paulbudhe College of Education, Shaneshwar Nagar, Vasant Tekdi, Ahmednagar, Tal. Ahmednagar, Dist. Ahmednagar 414003",Maharashtra,Ahilyanagar,,bed.sspmonline.org,,,tech,,,,,
,MAHATMA EDUCATION SOCIETY?S PILLAI HOC COLLEGE OF EDUCATION AND RESEARCH ,Maharashtra,Raigad,,www.phcer.ac.in,,,tech,,,,,
,"Chandrakant Yashwant Dangat Patil Shikshan & Krida Mandal's, Shiv Chatrapati Arts & Commerce College, S. No. 46, Vidyanagar, Wadgaon Bk, Tal. Hawali, Pune - 41",Maharashtra,Pune,,www.scacpune.com,,,tech,,,,,
,"Nirmala Memorial Foundation College of Education. D.S.Road, Asha Nagar, Thakur Complex, Kandivali (E) Mumbai  400 101",Maharashtra,Mumbai Suburban,,nmfbed.edu.in,,,tech,,,,,
,"Indapur Taluka Shikshan Prasarak Mandal, College of Arts Bhigwan, A/P- Bhigwan, Ta- Indapur, Dist- Pune 413130",Maharashtra,Pune,,https://coabhigwan.edu.in/,,,tech,,,,,
,"280061-A. S. S. P. MANDAL'S MAHARAJ J. P. VALVI ARTS, COMMERCE & SHRI V. K. KULKARNI SCIENCE COLLEGE, DHADGAON TAL AKRANI DIST NANDURBAR",Maharashtra,Nandurbar,,www.mjpvsc.org,,,tech,,,,,
,"Padmabhushan Dr. Krantiveer Nagnathanna Naikwadi Kala Mahavidyalaya, Zare, Tal. Atpadi Dist. Sangli",Maharashtra,Sangli,,http://maharanideviahilya.santechsoft.com,,,tech,,,,,
,"Rajgad Dnyanpeeth's, Anantrao Thopte College, Bhor, Dist- Pune 412206",Maharashtra,Pune,,atcbhor.com,,,tech,,,,,
,ANAND COLLEGE OF PHYSIOTHERPAY,Maharashtra,Chhatrapati Sambhajinagar,,www.anandbpth@gmail.com,,,tech,,,,,
,SHRI VIVEKANAND MESHRAM ARTS COMMERCE AND SCIENCE COLLEGE RUPERA SIHORA TAH TUMSAR DIST BHANDARA,Maharashtra,Bhandara,,www.vmcollege.org,,,tech,,,,,
,VITTUJI ARTS COMMERCE AND SCIENCE COLLEGE MOHADI TAH MOHADI DIST BHANDARA,Maharashtra,Bhandara,,www.vacs80.20275.org,,,tech,,,,,
,"UTKARSH ART, COMMERCE AND SCIENCE COLLEGE, SINDKHED RAJA",Maharashtra,Buldhana,,https://www.utkarshasrcollege.org,,,tech,,,,,
,JIJAMATA MAHAVIDYALAYA DURGMANWAD TAL RADHANAGARI DIST KOLHAPUR,Maharashtra,Kolhapur,,jijamatamahavidylaya.com,,,tech,,,,,
,SHRI ANANDRAO ABITKAR ARTS COMMERCE AND SCIENCE MAHAVIDYALAYA KADGAON TAL BHUDARGAD DIST KOLHAPUR,Maharashtra,Kolhapur,,www.abitkarcollegekadgaon.com,,,tech,,,,,
,"Dalvi Educational & Charitable Trust's Dalvi College of Arts, Commerce and Science, Group Grampanchayat Shirgaon, At. Shenale, Post. Soveli, Tal. Mandangad, Dist. Ratnagiri",Maharashtra,Ratnagiri,,www.dcacs.in,,,tech,,,,,
,"230099-SHRI SAIBABA BHAKTA MANDAL SANCHALIT, KALA  VARISHTHA  MAHAVIDYALAY, MHASAWAD TAL. SHAHADA DIST. NANDURBAR",Maharashtra,Nandurbar,,www.ssbmcollege.in,,,tech,,,,,
,"230056-SATPUDA SHIKSHAN PRASARAK MANDAL SANCHALIT VASANTRAO NAIK ARTS SCIENCE AND COMMERCE COLLEGE, SHAHADA TAL. SHAHADA DIST. NANDURBAR",Maharashtra,Nandurbar,,www.sspmvnc.ac.in,,,tech,,,,,
,"VISHAL SHIKSHAN PRASARAK MANDAL DHULE SANCHALIT PROF. A. B. PATIL ARTS COMMERCE AND SCIENCE COLLEGE, MAHINDALE TAL.DHULE DIST. DHULE",Maharashtra,Dhule,,www.vspmdhule.in,,,tech,,,,,
,"Chaudhary Atarsingh Yadav Memorial Education Trust?s Siddhant Institute of Computer Application, Pune Maharashtra",Maharashtra,Pune,,www.siddhantgroup.edu.in,,,tech,,,,,
,"Indraprastha New Arts Commerce and Science College, Wardha",Maharashtra,Wardha,,www.nacscwardha.org,,,tech,,,,,
,"Smt. C.B. Shah Mahila Mahavidyalaya, Sangli",Maharashtra,Sangli,,www.cbshahcollege.ac.in,,,tech,,,,,
,"Bharati Vidyapeeth's Dr. Patangrao Kadam Mahavidyalaya, Sangli",Maharashtra,Sangli,,dpkmsangli.bharatividyapeeth.edu,,,tech,,,,,
,"130083-MAHATMA PHULE SAMAJIK AND SHAIKSHANIK VIKAS MANDALACHE MAHATMA PHULE ARTS AND SCIENCE COLLEGE, CHALISGAON TAL.CHALISGAON DIST. JALGAON",Maharashtra,Jalgaon,,www.mpartsciencecollege.org,,,tech,,,,,
,"Nandigram Institute of I.T. , Taroda, Nanded",Maharashtra,Nanded,,nandigramiit.org,,,tech,,,,,
,"Dr.Rajendra Gode Institute of Technology & Research, Mardi Road, Amravati",Maharashtra,Amravati,,www.drgitr.com,,,tech,,,,,
,"Kai. Rasika Mahavidyalaya, Deoni",Maharashtra,Latur,,www.kairasikamahvidyalaya.com,,,tech,,,,,
,"Excelsior Education Society's K. B. College of Arts and Commerce for Women, Mithbunder Road, Kopri, Dist. Thane (East) - 400 603",Maharashtra,Thane,,www.kbacw.edu.in,,,tech,,,,,
,"Shramjivi College of Education, Omerga",Maharashtra,Dharashiv,,www.shramjivibedcollege.in,,,tech,,,,,
,Vishweshwar Education Societys Western College of Commerce & Business Management Plot No.2  Sector 9 Sanpada  Navi Mumbai  400 705,Maharashtra,Thane,,www.wccbm.ac.in,,,mgt,,,,,
,"B. K. Birla College of Arts, Science & Commerce, Kalyan, B. K. Birla College Road, Kalyan, Dist. Thane",Maharashtra,Thane,,www.bkbirlacollegekalyan.com,,,tech,,,,,
,"PRITI ACADMY DEGREE COLLEGE, MAHARAL",Maharashtra,Thane,,https://pritidegreecollege.ac.in/,,,tech,,,,,
,"Smt. Fatimabai M. S. Educational Trust's Mumbra College of Arts & Commerce (Night),C/o.St.John?s Convent High School,Near Canara bank, Mumbra, Dist .Thane - 400 612 ",Maharashtra,Thane,,www.mncollege.in,,,tech,,,,,
,"Karnala Sports Academy?s Barns College of Arts, Science & Commerce plot no.7, sector-16, Behind HOC colony Taluka Panvel Dist. Raigad- 410 206",Maharashtra,Raigad,,www.barnscollege.org,,,tech,,,,,
,"Karamvir Dadasaheb Deotale Mahavidyalaya, Chamorshi",Maharashtra,Gadchiroli,,www.kddcollegechamorshi.org,,,tech,,,,,
,"Shri Shivaji Arts, Commerce & Science College, Akot",Maharashtra,Akola,,www.sscakot.org,,,tech,,,,,
,"Adarsh Vidya Prasarak Sanstha's Adarsh College of Arts & Commerce, Kulgaon, Badlapur, Dist. Thane-421503",Maharashtra,Thane,,www.adarshcollege.avpskulgaon.net,,,tech,,,,,
,MEHERBABA MAHAVIDYALAYA,Maharashtra,Nagpur,,ambcollege.in,,,tech,,,,,
,"Shikshan Maharshi Dr. D.Y.Patil Shikshan Sansthas Dr. D.Y.Patil College of Computer & Business Studies, Pune",Maharashtra,Pune,,https://www.dypsrcollege.com,,,mgt,,,,,
,"DR ASHISH MOHARKAR ARTS,COMMERCE AND SCIENCE COLLEGE BHISI TAHSIL CHIMUR DISTRICT CHANDRAPUR",Maharashtra,Chandrapur,,https://abhishek8177.github.io/Dr.AshishMoharkarCollegeVC/,,,tech,,,,,
,VILASRAO SHINDE MAHAVIDYALAYA ARTS COMMERCE AND SCIENCE ASHTA TAL WALWA DIST SANGLI,Maharashtra,Sangli,,www.vsmast.edu.in,,,tech,,,,,
,S R B MAHAVIDYALAYA KESHORI,Maharashtra,Gondia,,https://srbmahavidayalayakeshori.com,,,tech,,,,,
,"SANT BHAGWANBABA M ED COLLEGE, KAIJ",Maharashtra,Beed,,www.vkcoekaij.com,,,tech,,,,,
,THAKUR ARTS COMMERCE AND SCIENCE RATRKALIN COLLEGE VAGHAPUR ROAD YAVATMAL,Maharashtra,Yavatmal,,www.thakur904.com,,,tech,,,,,
,SAVITRIBAI PHULE MAHILA MAHAVIDYALAY,Maharashtra,Jalna,,savitribaiphule557.com,,,tech,,,,,
,SUSHILA SURYAWANSHI MANAGEMNT INSTITUTE OF TECHNOLOGY ADVANCEMENT,Maharashtra,Amravati,,www.ssmita.ac.in,,,tech,,,,,
,MAHATMA PHULE MAHILA MAHAVIDYALAY,Maharashtra,Jalna,,-,,,tech,,,,,
,"Phaltan Education Society's College of Engineering, Survey No. 31, At Post. Thakurki,  Tal. Phaltan, Dist. Satara",Maharashtra,Satara,,www.coephaltan.edu.in,,,tech,,,,,
,SHURVIE MAHILA MAHAVIDYALAYA MUL,Maharashtra,Chandrapur,,-,,,tech,,,,,
,"Yashoda Technical Campus, Satara",Maharashtra,Satara,,www.yes.edu.in,,,tech,,,,,
,SHAKUNTALABAI MAHILA MAHAVIDYALAY,Maharashtra,Jalna,,-,,,tech,,,,,
,CHINTAMANI MAHAVIDYALAYA BALLARPUR,Maharashtra,Chandrapur,,https://chintamani.edu.in,,,tech,,,,,
,TILAKNAGAR SHIKSHAN PRASARAK MANDALS TILAKNAGAR COLLEGE OF COMMERCE DOMBIVLI EAST,Maharashtra,Thane,,http://www.tilaknagarcollege.com,,,tech,,,,,
,Maharashtra Shikshan Vikas Mandal Sanchalit New Shikshanshastra Mahavidyalay Bhor Township Chunchale Shivar Nashik - 422010,Maharashtra,Nashik,,http://www.newcollegeofeducation.com,,,tech,,,,,
,Bharati Vidyapeeth Deemed to be University Department of Management Studies Off-Campus,Maharashtra,Raigad,,https://www.bvuniversity.edu.in/dommumbai/,,,mgt,,,,,
,Shriram Shikshan Sanstha's Mahila Education College,Maharashtra,Solapur,,www.shriramedupaniv.org,,,tech,,,,,
,"ICL's Motilal Jhunjhunwala College of Arts, Science and Commerce, Plot No. 53, Sector 9-A, Vashi, Navi Mumbai-400 703 ",Maharashtra,Thane,,www.iclesmj.edu.in,,,tech,,,,,
,"Anjuman-I- Islam's, Akbar Peerbhoy College of Commerce & Economics, Maulana Shaukat Ali Road,Do Taaki, Mumbai- 400 008",Maharashtra,Mumbai,,www.apcollege.in,,,tech,,,,,
,"The Bombay Flying Club's College of Aviation, N.S.Road No.6 (Next to Jamnabai Narsee School, Gate no.4) J.V.P.D. Scheme Vile Parle (W), Mumbai?400 056",Maharashtra,Mumbai Suburban,,www.thebombayflyingclub.com,,,tech,,,,,
,"Manisha Education Trust's Smt. Janakibai Rama Salvi College of Arts, Commerce & Science, Manisha Nagar, Kalwa (W), Thane-400605",Maharashtra,Thane,,www.sjrscollege.com,,,tech,,,,,
,"SYMBIOSIS Institute of Business Management, Nagpur",Maharashtra,Nagpur,,www.sibmnagpur.edu.in,,,mgt,,,,,
,"Vidya Bhavan College of Management & Research, Yavatmal",Maharashtra,Yavatmal,,www.vbcmr.in,,,mgt,,,,,
,"Anusaya Shikshan Prasarak Mandal?s Swatantrya Sainik Suryabhanji Pawar College, Purna(Jn.)",Maharashtra,Parbhani,,www.spcollegepurna.edu.in,,,tech,,,,,
,"Nagrik Shikshan Sanstha's College of Commerce and Economics, NSS Educational Complex, M. P. Mills Compound, Tardeo, Mumbai-400034",Maharashtra,Mumbai,,www.nsseducation.org,,,tech,,,,,
,ADIVASI SEVA SAMITI NASHIK SANCHLIT SAMJSHRI PRASHANTDADA HIRAY ARTS COMMERCE AND SCIENCE COLLEGE SURGANA DIST NASHIK,Maharashtra,Nashik,,www.assn.org.in,,,tech,,,,,
,M P COLLEGE OF CYBER AND DIGITAL SCIENCE  PUNE,Maharashtra,Pune,,-,,,tech,,,,,
,MAHATMA PHULE VASTIGRUH M P COLLEGE PUNE,Maharashtra,Pune,,www.mahatmaphulecollege.com,,,tech,,,,,
,R G COLLEGE OF FASHION DESIGN JANUNA TQ MAHAGAON DIST YAVATMAL,Maharashtra,Yavatmal,,-,,,tech,,,,,
,"D Y PATIL ACADEMIC EDUCATION EXCELLENCE FEDERATION,DR D Y PATIL TECHNICAL CAMPUS,VARALE,TALEGAON DABHADE,PUNE ",Maharashtra,Pune,,www.dypatiltechnicalcampus.com,,,tech,,,,,
,TRINITY COLLEGE OF ARTS COMMERCE AND SCIENCE,Maharashtra,Pune,,www.kjei.edu.in,,,tech,,,,,
,GODAVARI WOMENS COLLEGE WASHIM B SC HOME SCIENCE,Maharashtra,Washim,,www.godavari collage washim,,,tech,,,,,
,"DIVINE COLLEGE OF ARTS, COMMECE AND SCIENCE SATANA CITY",Maharashtra,Nashik,,-,,,tech,,,,,
,AMBAMATA MAHILA MAHAVIDYALAY ARMORI TA ARMORI DIST GADCHIROLI,Maharashtra,Gadchiroli,,www.https://,,,tech,,,,,
,"DNYANODAYA EDUCATION TRUSTS, ORCHID DEGREE COLLEGE OF ARTS, SCIENCE AND COMMERCE",Maharashtra,Palghar,,-,,,tech,,,,,
,Dr BHIMSING CHAVAN MAHAVIDYALAY,Maharashtra,Jalna,,www.drbccollegetupewadi2019.org,,,tech,,,,,
,"250046-GRAMIN VIKAS SHIKSHAN PRASARAK MANDAL'S LATE M.D.SISODE ALIAS BHAUSAHEB ARTS, COMMERCE AND DR. SAU. USHATAI PRASADRAO TANPURE SCIENCE COLLEGE, NARDANA, TAL-SHINDKHEDA, DIST - DHULE",Maharashtra,Dhule,,https://gvspmnardana.org,,,tech,,,,,
,"Ashoka Education Foundations Ashoka Center for Business & Computer Studies,Chandasi, Tal. Dist.Nashik 422013",Maharashtra,Nashik,,www.acbcs.edu.in,,,mgt,,,,,
,"Shri Murudeshwar College, Petshivni, Tq. Palam",Maharashtra,Parbhani,,-,,,tech,,,,,
,"Bahirji Smarak Senior College, Hatta, Tq. Vasmat",Maharashtra,Hingoli,,www.Bsmhatta.com,,,tech,,,,,
,"Saw.Padmadevi Ramprasadji Somani BCA College, Yeldarkar Colony, Parbhani",Maharashtra,Parbhani,,-,,,tech,,,,,
,"Jupiter Physical Education College, Sawarkar Nagar",Maharashtra,Nagpur,,www.jssm.com,,,tech,,,,,
,"Rajrshi Shahu Arts, commerce Science  & I.T. College Hingoli",Maharashtra,Hingoli,,-,,,tech,,,,,
,KAI GANESH KAKA KULKARNI SCIENCE COLLEGE MADHA,Maharashtra,Solapur,,-,,,tech,,,,,
